Similarity Score,Original Sentence (Keep),Duplicate Sentence (Remove)
0.8633,pwede ba sia sa huawei p8 ung micro ung cable,pweee ba sia sa huawei p8 ung micro ung saksakan
0.9152,hi may kasama na bang cable charger yan,may kasama po bang cable charger ito
0.9454,may kasama na ba tong chord,kasama po ba yung chord
0.8779,may connector na po itong kasama,merong kasama po ba yng connector
0.8955,pwedi sa oppo a83,pede po ba sa oppo a83
0.8533,ok din po ba to sa iphone,okay po ba ito sa iphone xr
0.8669,pede po b sa iphone5,pd po sa iphone5s
0.9170,pede po b sa iphone5,pwedi po ba iphone 5
0.8541,pede po b sa iphone5,pwede po iphone 5
0.8857,pwede po sa lenovo k6 note,pwede po ba yan sa lenovo k6
0.9095,pwede po ba yan sa 5 inches na screen,pwede po ba ito sa mga 5 inches phone
0.8521,a3s pde po ba,pwde po ba oppo a3s
0.8704,a3s pde po ba,pwd po ba s oppo a3s
0.8524,pede sa vivoy91,kasya sa vivoy91
0.9054,pwede ba to sa asus zenfone max pro m1,pwede po ba ito sa asus max pro m1
0.8783,kasya po sya sa 4s,kasya po ba sya sa iphone 4s
0.9299,pwede ba sa vivo y81i,pwede poba sa vivo y81i
0.9439,pwede ba sa vivo y81i,pwede po bayan sa vivo y81i
0.9610,pwede ba sa vivo y81i,pwede po ba sa vivo y81
0.9314,pwede ba sa vivo y81i,pwede po ba sa vivo y81 yan
0.9434,pwede ba sa vivo y81i,pwede po bq ito sa vivo y81i
0.9504,pwede ba sa vivo y81i,pwede po ba to sa vivo y81
0.8576,pwedi po b i2 sa xiaomi redmi 5,pede po ba sa xiaomi redmi 5a
0.8546,pwedi po b i2 sa xiaomi redmi 5,pwede b sa xiaomi redmi 5 plus
0.9103,pwede po ba to sa a3s,pwede po ba oppo a3s
0.8734,pwede po ba to sa a3s,pwede po sa oppo a3s
0.8502,pwede po ba to sa a3s,allowed po ba ito sa oppo a3s
0.9279,pwede po ba to sa a3s,pwede po ba ito sa oppo a3s
0.9121,pwede po ba to sa a3s,pwede po ba sa oppo a3s
0.8615,pwede po ba to sa a3s,pwede po ba sya sa oppo a3
0.8515,samsung j7 pro po,pede po ba samsung galaxy j7 pro
0.8506,samsung j7 pro po,pwde po sa samsung j7 core
0.8615,pwede po ba ito sa lg q6,pwede ba yan sa ip6
0.8785,pwede po bah xa sa vivo y5,pwede po ba to sa vivo y55s
0.9211,pwede po ba ito sa note 8,pwede ba to sa note9
0.8525,pwede po ba iphone xs,kasya po ba ito sa iphone xs max
0.8611,pwede sa j7 pro,pwede po aa j7 prime
0.8531,pwede sa j7 pro,pwede ba po yan sa samsung j7 pro
0.8580,pwede sa j7 pro,compatible po ba sya sa j7 pro
0.9022,ask ko lang po pwede po ba yan sa samsung j4,pwede po ba sa samsung j4
0.9107,ask ko lang po pwede po ba yan sa samsung j4,pwede po ba to sa samsung j4
0.8739,ask ko lang po pwede po ba yan sa samsung j4,pwede po b sa samsung j4
0.8626,pwede po sa samsung galaxy s4,pwede po ba sa samsung j4
0.8515,pwede po sa samsung galaxy s4,pwede po ba sa tablet na samsung galaxy tab 4
0.8524,pwede po sa samsung galaxy s4,pwede po ba to sa samsung j4
0.8511,pwede po sa samsung galaxy s4,pwede po b sa samsung j4
0.9777,pwede po sa samsung galaxy s4,pwede b to sa samsung galaxy s4
0.8613,pwede po sa samsung galaxy s4,pwede po ba ito sa samsung galaxy s5
0.8583,pwede po ba sa pocophone f1,pwede po sa oppo f1f
0.9665,pwede po ba sa pocophone f1,pwede po ba ito sa pocophone f1
0.9249,hindi ba makadamage sa screen,di ba nakakagasgas ng screen
0.8613,pwede sa vivo 9,pwede po ba ito sa vivo v9
0.8631,pwedi po ba sa tab,pwede po ba toh sa tab
0.8525,pwd ba yan sa huaweiy 7,pede po ba yan sa huawei y6
0.8519,kasya ba samsung j8,pwede sa samsung j8
0.8689,pwede po ba sa samsung galaxy e5,pwede po ba ito sa samsung galaxy s5
0.8574,pwede po ba sya sa s7 edge,compatible po ba sa s7 edge
0.9326,pwede po ba sya sa samsung j4 plus,pwede po ba to sa samsung j4
0.9021,pwede po ba sya sa samsung j4 plus,pwede po b sa samsung j4
0.8617,pwede po ba to sa redmi note 5 pro,pwede ba yan sa xiaomi redmi note 5a
0.8749,pwede po ba ito s soney xperia xa1 ultra,pwede po ba ito sa sonny xperia c5 ultra
0.8958,pwede po ba sya sa vivo v9thanks po,pwede po ba ito sa vivo v9
0.9667,pwede po ba sa mobile legends yan,pwede ba toh sa mobile legends
0.9274,my ibang color po ba yan,may ibang kulay po ba yan
0.8871,pwede po ba sa huawei nova 2lite,pwed ba sa huawei nova 2i
0.8712,pwede po ba sa huawei nova 2lite,pwde to sa huawei nova 2i ty
0.9160,pwede po ba to sa lenovo a6000,pwede ba lenovo a5000
0.8708,pwede din po ba to sa kahit anong size ng phone,pwede ba ito sa kahit na anong phone
0.8812,pwede poh bah sa j5 on5 prime,pwede ba ito sa j5 prime
0.9249,pede sa vivo y53,pedi po ba sa vivo y53
0.8888,pwede po b sa huawei nova 3i thanks,pwede poba to sa huawei nova 3i
0.8552,pwede po b sa huawei nova 3i thanks,pudi po ba ito sa huawei nova 3i
0.8517,pwede bto sa oppo f7,pwd po ba sa oppo f7
0.9344,pwede bto sa oppo f7,pwede po b eto sa oppo f7
0.8946,pwede sa xiaomi redmi note 5 pro,pwede ba yan sa xiaomi redmi note 5a
0.8580,pde po ba sya sa iphone 5s,hello po pwd po ba ito sa iphone5
0.9071,pde po ba sya sa iphone 5s,fit po ba sa iphone 5s to
0.8773,pwede ba ito sa xiomi red note 4,compatuble ba siya sa redmi note 4
0.9211,pwede po ba yan sa lahat ng phone,pwede ba ito sa kahit na anong phone
0.9203,pwede po ba vivo v9 sirmam,pwede po ba ito sa vivo v9
0.9450,pede po ba sa huawei y5 2017,pwede po ba itp sa huawei y5 2017
0.8845,compatible with iphone 6plus,compatible ba to sa iphone 6
0.9294,ask lang po ako elang araw po ito dadting sa akin,ask lang po ako elang araw po ito dadating maam sir
0.9123,12pcs order ang binigay 3pcs ang mahal na ng shipping ang mahal pa pala neto 60 isa pala kaloka,12pcs order ang binigay 3pcs ang mahal na ng shiffing ang mahal pa pala neto 60 isa pala kaloka
0.9828,nice nice nicegood and affordable price legit sya,nice nice nice good and affordable price legit sya
0.8890,ok naman sya,ok naman po
0.8567,ok naman sya,ok na rin
0.8603,maganda po syaaaa madikit,nice ang ganda
0.8875,i dont try it yet pero sana ok sya,havent try it yet tingin ko nmn maganda sya
0.9036,white po order ko gray dumating,nakakadismaya white ang order ko gray ang pinadala
